Timestamp arrow_downward	Unit	Priority	Message (showing first 5000 entries)
02-18 09:29:14	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:28:50	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55480->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:50	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55480->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55382->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55374->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55382->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55374->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55382->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:48	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:55374->163.177.58.13:12101: write: broken pipe"	
02-18 09:28:25	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:28:09	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:27:53	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:27:21	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:27:17	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:42560->163.177.58.13:12101: write: broken pipe"	
02-18 09:27:15	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:42560->163.177.58.13:12101: write: broken pipe"	
02-18 09:27:14	dae	Informational	level=warning msg="handlePkt: write tcp 192.168.1.15:42560->163.177.58.13:12101: write: broken pipe"	
02-18 09:26:53	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:26:52	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:26:50	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:26:49	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36694->163.177.58.13:12103: write: broken pipe"	
02-18 09:26:49	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:26:16	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:26:01	dae	Informational	level=warning msg="handlePkt(dns): failed to write cached DNS resp: listen udp 192.168.1.15:53: bind: address already in use"	
02-18 09:24:18	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36686->163.177.58.13:12103: write: broken pipe"	
02-18 09:24:15	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36686->163.177.58.13:12103: write: broken pipe"	
02-18 09:24:14	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36686->163.177.58.13:12103: write: broken pipe"	
02-18 09:24:13	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36686->163.177.58.13:12103: write: broken pipe"	
02-18 09:24:12	dae	Informational	level=warning msg="handlePkt(dns): write tcp 192.168.1.15:36686->163.177.58.13:12103: write: broken pipe"	
